name,id,first_acquired,last_acquired,resolution
planet_medres_visual_2020-10_mosaic,608d077f-dae3-4d66-8a9c-9c8a5b3b0904,2020-10-01,2020-11-01,4.777
planet_medres_visual_2020-11_mosaic,8ae68c12-8a7e-480c-9657-f8811f089e07,2020-11-01,2020-12-01,4.777
planet_medres_visual_2020-12_mosaic,29def628-d42e-4c76-a820-62f9247691a3,2020-12-01,2021-01-01,4.777
planet_medres_visual_2021-01_mosaic,16d146f1-f290-4d29-b01b-e9c2e3b034ae,2021-01-01,2021-02-01,4.777
planet_medres_visual_2021-02_mosaic,68fbed85-2380-49dc-ada0-887dcd9ec13d,2021-02-01,2021-03-01,4.777
planet_medres_visual_2021-03_mosaic,cce029d5-8e99-4555-a050-95e570686d37,2021-03-01,2021-04-01,4.777
planet_medres_visual_2021-04_mosaic,857c56a3-324d-487c-bd0c-1b01b3287209,2021-04-01,2021-05-01,4.777
planet_medres_visual_2021-05_mosaic,c070db99-11d1-4bf9-a2f0-55a797749c84,2021-05-01,2021-06-01,4.777
planet_medres_visual_2021-06_mosaic,0109f674-5105-4d2a-9e39-06be4f25fac8,2021-06-01,2021-07-01,4.777
planet_medres_visual_2021-07_mosaic,40e847d4-e6c3-4ae9-bfa3-65eff1f8f492,2021-07-01,2021-08-01,4.777
planet_medres_visual_2021-08_mosaic,87b26148-522d-4e8b-8564-39d3ab45c328,2021-08-01,2021-09-01,4.777
planet_medres_visual_2021-09_mosaic,5db2a9a2-affc-47f3-9277-0da45937e38b,2021-09-01,2021-10-01,4.777
planet_medres_visual_2021-10_mosaic,05c690a9-ae67-4e4a-9075-ebad14a34aa1,2021-10-01,2021-11-01,4.777
planet_medres_visual_2021-11_mosaic,cc7e6e0e-3ae1-4261-8146-de51e3e6fc88,2021-11-01,2021-12-01,4.777
planet_medres_visual_2021-12_mosaic,a7518d01-d41a-43d8-a156-f6fb38c9a8c2,2021-12-01,2022-01-01,4.777
planet_medres_visual_2022-01_mosaic,45337933-17ff-4e88-8add-24c623c649b5,2022-01-01,2022-02-01,4.777
planet_medres_visual_2022-02_mosaic,6442af08-c753-43fd-ae86-ccb71a792fcd,2022-02-01,2022-03-01,4.777
planet_medres_visual_2022-03_mosaic,4c55ce46-e5ab-4627-b0cc-0e179f938181,2022-03-01,2022-04-01,4.777
planet_medres_visual_2022-04_mosaic,c2156297-623d-4793-a91e-fb317c9fef04,2022-04-01,2022-05-01,4.777
planet_medres_visual_2022-05_mosaic,03d1b2e1-0e45-4560-bbc5-7c2d284cc85c,2022-05-01,2022-06-01,4.777
planet_medres_visual_2022-06_mosaic,fd7f0a55-474e-464b-8d17-be161d291149,2022-06-01,2022-07-01,4.777
planet_medres_visual_2022-07_mosaic,f47b9324-f684-4636-b3fd-10e2eba8066a,2022-07-01,2022-08-01,4.777
planet_medres_visual_2022-08_mosaic,f290886f-1eea-4c96-9cbf-7b919521e11e,2022-08-01,2022-09-01,4.777
